Publication Years	records	% of 12935
2017	944	7.298
2018	918	7.097
2016	879	6.796
2015	832	6.432
2013	776	5.999
2014	763	5.899
2012	762	5.891
2011	720	5.566
2010	679	5.249
2009	642	4.963
2008	580	4.484
2007	492	3.804
2006	444	3.433
2005	405	3.131
2004	361	2.791
2003	338	2.613
2002	336	2.598
2001	273	2.111
2000	251	1.940
2019	226	1.747
1999	211	1.631
1998	202	1.562
1996	188	1.453
1997	170	1.314
1995	130	1.005
1994	102	0.789
1992	92	0.711
1993	77	0.595
1991	67	0.518
1990	24	0.186
1989	12	0.093
1988	10	0.077
1985	7	0.054
1987	7	0.054
1981	3	0.023
1983	3	0.023
1986	3	0.023
1935	1	0.008
1940	1	0.008
1966	1	0.008
1976	1	0.008
1980	1	0.008
1984	1	0.008
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
